"Region_origin","Region_recipient","Average"
"West Asia","Temp. S. America",0.666666666666667
"West Asia","South Asia",9.06666666666667
"Southeast Asia","East Asia",0.133333333333333
"Southeast Asia","SE Mediterranean",0.133333333333333
"NE Europe","Southeast Asia",0.133333333333333
"NE Europe","NE Europe",10.8
"SW Europe","South Asia",0.4
"NE Europe","Temp. S. America",0.666666666666666
"NE Europe","East Africa",0.133333333333333
"Southern Africa","East Asia",0.4
"Southern Africa","NW Europe",0.8
"Southern Africa","West Asia",0.4
"Southern Africa","United States",0.133333333333333
"West Asia","SE Europe",0.8
"United States","Temp. S. America",0.4
"United States","NE Europe",3.06666666666667
"United States","SE Europe",2
"United States","Canada",250.666666666667
"United States","Andes",2
"United States","East Asia",13.6
"United States","SE Mediterranean",9.06666666666667
"United States","NW Europe",15.6
"United States","South Asia",2.26666666666667
"United States","West Asia",2.53333333333334
"United States","SW Europe",0.4
"United States","Australia New Zealand",0.133333333333333
"United States","East Africa",0.133333333333333
"United States","United States",4.26666666666667
"United States","Southern Africa",0.133333333333333
"Trop. S. America","Andes",0.133333333333333
"Southern Africa","Andes",0.133333333333333
"Southern Africa","NE Europe",0.133333333333333
