"Origin","Recipient","Average no samples per year","Region_origin","Region_recipient"
"Canada","Belgium",0.266666666666667,"North America","NW Europe"
"Canada","Bulgaria",9.86666666666667,"North America","SE Europe"
"Canada","Canada",588,"North America","North America"
"Canada","Chile",2.66666666666667,"North America","Andes"
"Canada","China",86.1333333333333,"North America","East Asia"
"Canada","China, Taiwan Province of",4.53333333333333,"North America","East Asia"
"Canada","Croatia",0.8,"North America","SE Europe"
"Canada","Czech Republic",8.93333333333333,"North America","NE Europe"
"Canada","Denmark",0.266666666666667,"North America","NW Europe"
"Canada","Egypt",22.8,"North America","SE Mediterranean"
"Canada","Estonia",5.46666666666667,"North America","NE Europe"
"Canada","Ethiopia",1.86666666666667,"North America","East Africa"
"Canada","Finland",1.2,"North America","NW Europe"
"Canada","France",14.6666666666667,"North America","NW Europe"
"Canada","Germany",48.4,"North America","NW Europe"
"Canada","Hungary",1.06666666666667,"North America","NE Europe"
"Canada","Iceland",1.06666666666667,"North America","NW Europe"
"Canada","India",3.46666666666667,"North America","South Asia"
"Canada","Iran (Islamic Republic of)",3.2,"North America","West Asia"
"Canada","Israel",0.666666666666667,"North America","West Asia"
"Canada","Italy",3.6,"North America","SW Europe"
"Canada","Japan",5.73333333333333,"North America","East Asia"
"Canada","Jordan",0.8,"North America","West Asia"
"Canada","Luxembourg",0.133333333333333,"North America","NW Europe"
"Canada","Mongolia",4.53333333333333,"North America","East Asia"
"Canada","Morocco",0.666666666666667,"North America","SE Mediterranean"
"Canada","Netherlands",3.06666666666667,"North America","NW Europe"
"Canada","New Zealand",1.73333333333333,"North America","Australia New Zealand"
"Canada","Norway",4.93333333333333,"North America","NW Europe"
"Canada","Pakistan",21.6,"North America","West Asia"
"Canada","Poland",6.26666666666667,"North America","NE Europe"
"Canada","Republic of Korea",3.2,"North America","East Asia"
"Canada","Romania",1.2,"North America","NE Europe"
"Canada","Russian Federation",5.33333333333333,"North America","NE Europe"
"Canada","Slovakia",0.133333333333333,"North America","NE Europe"
"Canada","Spain",0.533333333333333,"North America","SW Europe"
"Canada","Sudan (former)",0.533333333333333,"North America","East Africa"
"Canada","Tunisia",1.06666666666667,"North America","SE Mediterranean"
"Canada","Turkey",2.26666666666667,"North America","West Asia"
"Canada","Ukraine",15.2,"North America","NE Europe"
"Canada","United Kingdom",7.6,"North America","NW Europe"
"Canada","United States of America",22.4,"North America","North America"
"Canada","Viet Nam",0.8,"North America","Southeast Asia"
"Canada","Zambia",9.2,"North America","Southern Africa"
"Chad","Canada",0.133333333333333,"West Africa","North America"
"Chad","India",2.4,"West Africa","South Asia"
"Chad","Romania",0.133333333333333,"West Africa","NE Europe"
"Chile","Canada",1.33333333333333,"Andes","North America"
"Chile","China",0.933333333333333,"Andes","East Asia"
"Chile","China, Taiwan Province of",0.133333333333333,"Andes","East Asia"
"Chile","Germany",4.53333333333333,"Andes","NW Europe"
"Chile","Iran (Islamic Republic of)",0.133333333333333,"Andes","West Asia"
"Chile","Poland",0.266666666666667,"Andes","NE Europe"
"China","Australia",0.4,"East Asia","Australia New Zealand"
"China","Bulgaria",0.133333333333333,"East Asia","SE Europe"
"China","Canada",77.4666666666667,"East Asia","North America"
"China","China",1.73333333333333,"East Asia","East Asia"
"China","China, Taiwan Province of",0.133333333333333,"East Asia","East Asia"
"China","Egypt",0.8,"East Asia","SE Mediterranean"
"China","France",0.8,"East Asia","NW Europe"
"China","Germany",3.6,"East Asia","NW Europe"
"China","India",1.73333333333333,"East Asia","South Asia"
"China","Japan",0.666666666666667,"East Asia","East Asia"
"China","New Zealand",0.266666666666667,"East Asia","Australia New Zealand"
