"Origin","Recipient","Average no samples per year","Region_origin","Region_recipient"
"Jordan","Russian Federation",0.133333333333333,"West Asia","NE Europe"
"Jordan","United Kingdom",0.266666666666667,"West Asia","NW Europe"
"Jordan","United States of America",0.666666666666667,"West Asia","North America"
"Kazakhstan","Canada",2.13333333333333,"Central Asia","North America"
"Kazakhstan","Egypt",0.4,"Central Asia","SE Mediterranean"
"Kazakhstan","Germany",0.533333333333333,"Central Asia","NW Europe"
"Kazakhstan","Iran (Islamic Republic of)",0.133333333333333,"Central Asia","West Asia"
"Kazakhstan","Netherlands",0.133333333333333,"Central Asia","NW Europe"
"Kazakhstan","Republic of Korea",0.133333333333333,"Central Asia","East Asia"
"Kazakhstan","Romania",0.4,"Central Asia","NE Europe"
"Kazakhstan","Russian Federation",0.133333333333333,"Central Asia","NE Europe"
"Kazakhstan","United Kingdom",0.133333333333333,"Central Asia","NW Europe"
"Kenya","Canada",24.4,"East Africa","North America"
"Kenya","Chile",0.266666666666667,"East Africa","Andes"
"Kenya","China",0.133333333333333,"East Africa","East Asia"
"Kenya","China, Taiwan Province of",0.133333333333333,"East Africa","East Asia"
"Kenya","France",0.133333333333333,"East Africa","NW Europe"
"Kenya","Poland",0.8,"East Africa","NE Europe"
"Kenya","Zambia",0.133333333333333,"East Africa","Southern Africa"
"Kyrgyzstan","Canada",0.8,"Central Asia","North America"
"Kyrgyzstan","Romania",0.133333333333333,"Central Asia","NE Europe"
"Latvia","Bulgaria",0.133333333333333,"NE Europe","SE Europe"
"Latvia","Canada",1.33333333333333,"NE Europe","North America"
"Latvia","France",0.266666666666667,"NE Europe","NW Europe"
"Latvia","Germany",0.133333333333333,"NE Europe","NW Europe"
"Lebanon","Canada",2.26666666666667,"West Asia","North America"
"Lebanon","Denmark",0.666666666666667,"West Asia","NW Europe"
"Lebanon","Iran (Islamic Republic of)",0.133333333333333,"West Asia","West Asia"
"Lebanon","Poland",1.86666666666667,"West Asia","NE Europe"
"Libya","Canada",1.06666666666667,"SE Mediterranean","North America"
"Libya","China",0.4,"SE Mediterranean","East Asia"
"Libya","Germany",0.133333333333333,"SE Mediterranean","NW Europe"
"Libya","Poland",2.4,"SE Mediterranean","NE Europe"
"Lithuania","Bulgaria",0.133333333333333,"NE Europe","SE Europe"
"Lithuania","Canada",0.8,"NE Europe","North America"
"Lithuania","China",0.533333333333333,"NE Europe","East Asia"
"Lithuania","Germany",0.133333333333333,"NE Europe","NW Europe"
"Lithuania","Netherlands",0.133333333333333,"NE Europe","NW Europe"
"Lithuania","Republic of Korea",0.133333333333333,"NE Europe","East Asia"
"Lithuania","United Kingdom",0.133333333333333,"NE Europe","NW Europe"
"Malawi","India",2.93333333333333,"Southern Africa","South Asia"
"Malta","Chile",0.133333333333333,"SE Mediterranean","Andes"
"Malta","United Kingdom",0.133333333333333,"SE Mediterranean","NW Europe"
"Mexico","Belarus",0.533333333333333,"Central America","NE Europe"
"Mexico","Canada",38.6666666666667,"Central America","North America"
"Mexico","China, Taiwan Province of",0.4,"Central America","East Asia"
"Mexico","Germany",0.8,"Central America","NW Europe"
"Mexico","India",1.06666666666667,"Central America","South Asia"
"Mexico","Iran (Islamic Republic of)",0.133333333333333,"Central America","West Asia"
"Mexico","Ukraine",0.133333333333333,"Central America","NE Europe"
"Mongolia","Canada",3.06666666666667,"East Asia","North America"
"Mongolia","Germany",1.33333333333333,"East Asia","NW Europe"
"Mongolia","United Kingdom",0.533333333333333,"East Asia","NW Europe"
"Montenegro","Canada",0.266666666666667,"SE Europe","North America"
"Montenegro","United States of America",0.266666666666667,"SE Europe","North America"
"Morocco","Argentina",0.133333333333333,"SE Mediterranean","Temp. S. America"
"Morocco","Belarus",0.266666666666667,"SE Mediterranean","NE Europe"
"Morocco","Canada",12.1333333333333,"SE Mediterranean","North America"
"Morocco","China",5.2,"SE Mediterranean","East Asia"
"Morocco","France",0.133333333333333,"SE Mediterranean","NW Europe"
"Morocco","Germany",0.4,"SE Mediterranean","NW Europe"
"Morocco","Iran (Islamic Republic of)",0.133333333333333,"SE Mediterranean","West Asia"
"Morocco","Israel",4.4,"SE Mediterranean","West Asia"
"Morocco","Pakistan",0.133333333333333,"SE Mediterranean","West Asia"
"Morocco","Poland",9.33333333333333,"SE Mediterranean","NE Europe"
"Morocco","Republic of Korea",0.133333333333333,"SE Mediterranean","East Asia"
"Morocco","Russian Federation",1.33333333333333,"SE Mediterranean","NE Europe"
"Morocco","Ukraine",1.06666666666667,"SE Mediterranean","NE Europe"
"Morocco","United Kingdom",1.6,"SE Mediterranean","NW Europe"
"Morocco","United States of America",1.86666666666667,"SE Mediterranean","North America"
"Mozambique","Canada",0.533333333333333,"Southern Africa","North America"
"Mozambique","Zambia",0.266666666666667,"Southern Africa","Southern Africa"
"Nepal","Canada",30.1333333333333,"South Asia","North America"
"Nepal","Iceland",0.266666666666667,"South Asia","NW Europe"
"Nepal","India",0.266666666666667,"South Asia","South Asia"
"Nepal","Poland",0.133333333333333,"South Asia","NE Europe"
"Netherlands","Argentina",0.133333333333333,"NW Europe","Temp. S. America"
"Netherlands","Bulgaria",0.4,"NW Europe","SE Europe"
"Netherlands","Canada",14.4,"NW Europe","North America"
"Netherlands","Chile",0.666666666666667,"NW Europe","Andes"
"Netherlands","China",2.53333333333333,"NW Europe","East Asia"
"Netherlands","Egypt",1.46666666666667,"NW Europe","SE Mediterranean"
"Netherlands","France",0.4,"NW Europe","NW Europe"
"Netherlands","Germany",1.2,"NW Europe","NW Europe"
"Netherlands","India",0.266666666666667,"NW Europe","South Asia"
"Netherlands","Iran (Islamic Republic of)",0.133333333333333,"NW Europe","West Asia"
"Netherlands","Italy",1.06666666666667,"NW Europe","SW Europe"
"Netherlands","New Zealand",0.133333333333333,"NW Europe","Australia New Zealand"
"Netherlands","Norway",0.266666666666667,"NW Europe","NW Europe"
"Netherlands","Pakistan",0.133333333333333,"NW Europe","West Asia"
"Netherlands","Turkey",0.266666666666667,"NW Europe","West Asia"
"Netherlands","United Kingdom",0.266666666666667,"NW Europe","NW Europe"
"Netherlands","United States of America",0.4,"NW Europe","North America"
"New Zealand","Bulgaria",0.133333333333333,"Australia New Zealand","SE Europe"
"New Zealand","Canada",3.06666666666667,"Australia New Zealand","North America"
"New Zealand","Chile",0.4,"Australia New Zealand","Andes"
"New Zealand","China",0.4,"Australia New Zealand","East Asia"
"New Zealand","France",0.266666666666667,"Australia New Zealand","NW Europe"
"New Zealand","Germany",0.133333333333333,"Australia New Zealand","NW Europe"
"New Zealand","Japan",0.133333333333333,"Australia New Zealand","East Asia"
"Nicaragua","Canada",0.133333333333333,"Central America","North America"
"Nicaragua","Chile",0.133333333333333,"Central America","Andes"
"Niger","Romania",0.266666666666667,"West Africa","NE Europe"
"Nigeria","China, Taiwan Province of",0.266666666666667,"West Africa","East Asia"
"Norway","Canada",0.533333333333333,"NW Europe","North America"
"Norway","Iceland",0.266666666666667,"NW Europe","NW Europe"
"Norway","Italy",0.266666666666667,"NW Europe","SW Europe"
"Norway","Republic of Korea",0.133333333333333,"NW Europe","East Asia"
"Norway","Sweden",0.133333333333333,"NW Europe","NW Europe"
"Norway","United States of America",0.266666666666667,"NW Europe","North America"
"Occupied Palestinian Territory","Canada",0.533333333333333,"SE Mediterranean","North America"
"Oman","Canada",0.4,"West Asia","North America"
"Oman","United States of America",0.133333333333333,"West Asia","North America"
"Pakistan","Argentina",0.4,"West Asia","Temp. S. America"
"Pakistan","Canada",98.9333333333333,"West Asia","North America"
"Pakistan","Chile",0.266666666666667,"West Asia","Andes"
"Pakistan","China",1.2,"West Asia","East Asia"
"Pakistan","France",1.33333333333333,"West Asia","NW Europe"
"Pakistan","India",6.4,"West Asia","South Asia"
"Pakistan","Morocco",17.2,"West Asia","SE Mediterranean"
"Pakistan","Pakistan",0.266666666666667,"West Asia","West Asia"
"Pakistan","Poland",0.8,"West Asia","NE Europe"
"Pakistan","Turkey",0.4,"West Asia","West Asia"
"Pakistan","United States of America",0.133333333333333,"West Asia","North America"
"Peru","Canada",10.5333333333333,"Andes","North America"
"Peru","China",0.133333333333333,"Andes","East Asia"
"Peru","China, Taiwan Province of",0.266666666666667,"Andes","East Asia"
"Peru","Germany",0.266666666666667,"Andes","NW Europe"
"Peru","Jordan",0.133333333333333,"Andes","West Asia"
"Peru","Russian Federation",0.133333333333333,"Andes","NE Europe"
"Philippines","Canada",1.06666666666667,"Southeast Asia","North America"
"Philippines","China, Taiwan Province of",0.133333333333333,"Southeast Asia","East Asia"
"Philippines","Egypt",0.133333333333333,"Southeast Asia","SE Mediterranean"
"Poland","Australia",0.266666666666667,"NE Europe","Australia New Zealand"
"Poland","Bulgaria",0.266666666666667,"NE Europe","SE Europe"
"Poland","Canada",30.2666666666667,"NE Europe","North America"
"Poland","Chile",0.533333333333333,"NE Europe","Andes"
"Poland","China",1.86666666666667,"NE Europe","East Asia"
"Poland","China, Taiwan Province of",0.133333333333333,"NE Europe","East Asia"
"Poland","Croatia",0.266666666666667,"NE Europe","SE Europe"
"Poland","Egypt",0.133333333333333,"NE Europe","SE Mediterranean"
"Poland","France",0.666666666666667,"NE Europe","NW Europe"
"Poland","Germany",1.33333333333333,"NE Europe","NW Europe"
"Poland","India",0.266666666666667,"NE Europe","South Asia"
"Poland","Japan",0.133333333333333,"NE Europe","East Asia"
"Poland","Netherlands",0.133333333333333,"NE Europe","NW Europe"
"Poland","Norway",0.133333333333333,"NE Europe","NW Europe"
"Poland","Pakistan",0.266666666666667,"NE Europe","West Asia"
"Poland","Philippines",0.133333333333333,"NE Europe","Southeast Asia"
"Poland","Poland",0.133333333333333,"NE Europe","NE Europe"
"Poland","Republic of Korea",0.133333333333333,"NE Europe","East Asia"
"Poland","United Kingdom",0.4,"NE Europe","NW Europe"
"Poland","United States of America",0.133333333333333,"NE Europe","North America"
"Portugal","Belarus",0.266666666666667,"SW Europe","NE Europe"
"Portugal","Canada",9.2,"SW Europe","North America"
"Portugal","China",2.93333333333333,"SW Europe","East Asia"
"Portugal","Germany",3.2,"SW Europe","NW Europe"
"Portugal","Iceland",0.133333333333333,"SW Europe","NW Europe"
"Portugal","India",0.133333333333333,"SW Europe","South Asia"
"Portugal","Iran (Islamic Republic of)",0.133333333333333,"SW Europe","West Asia"
"Portugal","Poland",1.86666666666667,"SW Europe","NE Europe"
"Portugal","Republic of Korea",0.133333333333333,"SW Europe","East Asia"
"Portugal","Ukraine",0.266666666666667,"SW Europe","NE Europe"
"Portugal","United Kingdom",1.46666666666667,"SW Europe","NW Europe"
"Portugal","United States of America",0.533333333333333,"SW Europe","North America"
"Puerto Rico","Canada",0.133333333333333,"Caribbean","North America"
"Republic of Korea","Canada",27.8666666666667,"East Asia","North America"
"Republic of Korea","Chile",0.133333333333333,"East Asia","Andes"
"Republic of Korea","China, Taiwan Province of",0.8,"East Asia","East Asia"
"Republic of Korea","France",0.133333333333333,"East Asia","NW Europe"
"Republic of Korea","Germany",0.266666666666667,"East Asia","NW Europe"
"Republic of Korea","Pakistan",0.4,"East Asia","West Asia"
"Republic of Moldova","Canada",2,"NE Europe","North America"
"Republic of Moldova","Egypt",0.666666666666667,"NE Europe","SE Mediterranean"
"Republic of Moldova","Germany",0.133333333333333,"NE Europe","NW Europe"
"Republic of Moldova","United Kingdom",0.133333333333333,"NE Europe","NW Europe"
"Republic of Moldova","United States of America",0.266666666666667,"NE Europe","North America"
"Romania","Canada",6.13333333333333,"NE Europe","North America"
"Romania","Chile",0.133333333333333,"NE Europe","Andes"
"Romania","China",1.2,"NE Europe","East Asia"
"Romania","France",0.533333333333333,"NE Europe","NW Europe"
"Romania","Germany",1.33333333333333,"NE Europe","NW Europe"
"Romania","Iran (Islamic Republic of)",0.133333333333333,"NE Europe","West Asia"
"Romania","Netherlands",0.133333333333333,"NE Europe","NW Europe"
"Romania","Norway",0.133333333333333,"NE Europe","NW Europe"
"Romania","Pakistan",0.4,"NE Europe","West Asia"
"Romania","Republic of Korea",0.266666666666667,"NE Europe","East Asia"
"Romania","Turkey",0.133333333333333,"NE Europe","West Asia"
"Romania","United Kingdom",0.533333333333333,"NE Europe","NW Europe"
"Russian Federation","Argentina",0.533333333333333,"NE Europe","Temp. S. America"
"Russian Federation","Australia",1.33333333333333,"NE Europe","Australia New Zealand"
"Russian Federation","Bulgaria",1.33333333333333,"NE Europe","SE Europe"
"Russian Federation","Canada",218.533333333333,"NE Europe","North America"
"Russian Federation","Chile",2.13333333333333,"NE Europe","Andes"
"Russian Federation","China",13.2,"NE Europe","East Asia"
"Russian Federation","China, Taiwan Province of",0.266666666666667,"NE Europe","East Asia"
"Russian Federation","Egypt",0.933333333333333,"NE Europe","SE Mediterranean"
"Russian Federation","Estonia",0.666666666666667,"NE Europe","NE Europe"
"Russian Federation","France",2.53333333333333,"NE Europe","NW Europe"
"Russian Federation","Germany",5.2,"NE Europe","NW Europe"
"Russian Federation","Iceland",1.73333333333333,"NE Europe","NW Europe"
"Russian Federation","India",0.4,"NE Europe","South Asia"
"Russian Federation","Iran (Islamic Republic of)",0.133333333333333,"NE Europe","West Asia"
"Russian Federation","Italy",0.133333333333333,"NE Europe","SW Europe"
"Russian Federation","Morocco",0.266666666666667,"NE Europe","SE Mediterranean"
"Russian Federation","Netherlands",0.933333333333333,"NE Europe","NW Europe"
"Russian Federation","New Zealand",0.133333333333333,"NE Europe","Australia New Zealand"
"Russian Federation","Norway",0.533333333333333,"NE Europe","NW Europe"
"Russian Federation","Poland",0.4,"NE Europe","NE Europe"
"Russian Federation","Republic of Korea",1.06666666666667,"NE Europe","East Asia"
"Russian Federation","Romania",1.06666666666667,"NE Europe","NE Europe"
"Russian Federation","Russian Federation",8.4,"NE Europe","NE Europe"
"Russian Federation","Sudan (former)",0.133333333333333,"NE Europe","East Africa"
"Russian Federation","Tunisia",0.133333333333333,"NE Europe","SE Mediterranean"
"Russian Federation","Turkey",0.4,"NE Europe","West Asia"
"Russian Federation","United Kingdom",8.53333333333333,"NE Europe","NW Europe"
"Russian Federation","United States of America",1.2,"NE Europe","North America"
"Saudi Arabia","Iran (Islamic Republic of)",0.133333333333333,"West Asia","West Asia"
"Saudi Arabia","United Kingdom",0.133333333333333,"West Asia","NW Europe"
"Serbia","Canada",1.6,"SE Europe","North America"
"Serbia","Germany",0.266666666666667,"SE Europe","NW Europe"
"Serbia","United Kingdom",0.133333333333333,"SE Europe","NW Europe"
"Slovakia","Canada",0.4,"NE Europe","North America"
"Slovenia","Canada",0.8,"SE Europe","North America"
"South Africa","Canada",11.0666666666667,"Southern Africa","North America"
"South Africa","China, Taiwan Province of",0.4,"Southern Africa","East Asia"
"South Africa","France",0.133333333333333,"Southern Africa","NW Europe"
"South Africa","Germany",0.666666666666667,"Southern Africa","NW Europe"
"South Africa","Iran (Islamic Republic of)",0.133333333333333,"Southern Africa","West Asia"
"South Africa","Pakistan",0.266666666666667,"Southern Africa","West Asia"
"South Africa","United States of America",0.133333333333333,"Southern Africa","North America"
"South Africa","Zambia",3.86666666666667,"Southern Africa","Southern Africa"
"Spain","Belarus",0.266666666666667,"SW Europe","NE Europe"
"Spain","Canada",13.7333333333333,"SW Europe","North America"
"Spain","Chile",0.8,"SW Europe","Andes"
"Spain","China",2.53333333333333,"SW Europe","East Asia"
"Spain","France",1.46666666666667,"SW Europe","NW Europe"
"Spain","Germany",2.26666666666667,"SW Europe","NW Europe"
"Spain","India",0.266666666666667,"SW Europe","South Asia"
"Spain","Iran (Islamic Republic of)",0.133333333333333,"SW Europe","West Asia"
"Spain","Israel",0.133333333333333,"SW Europe","West Asia"
"Spain","Jordan",0.266666666666667,"SW Europe","West Asia"
"Spain","Poland",4,"SW Europe","NE Europe"
"Spain","Republic of Korea",0.133333333333333,"SW Europe","East Asia"
"Spain","Ukraine",0.933333333333333,"SW Europe","NE Europe"
"Spain","United Kingdom",1.2,"SW Europe","NW Europe"
"Spain","United States of America",1.33333333333333,"SW Europe","North America"
"Sudan (former)","China, Taiwan Province of",1.6,"East Africa","East Asia"
"Sudan (former)","India",7.6,"East Africa","South Asia"
"Sweden","Bulgaria",0.666666666666667,"NW Europe","SE Europe"
"Sweden","Canada",38,"NW Europe","North America"
"Sweden","Chile",0.933333333333333,"NW Europe","Andes"
"Sweden","China",0.533333333333333,"NW Europe","East Asia"
"Sweden","Estonia",0.266666666666667,"NW Europe","NE Europe"
"Sweden","Finland",0.133333333333333,"NW Europe","NW Europe"
"Sweden","France",0.4,"NW Europe","NW Europe"
"Sweden","Germany",1.33333333333333,"NW Europe","NW Europe"
"Sweden","India",0.4,"NW Europe","South Asia"
"Sweden","Iran (Islamic Republic of)",0.133333333333333,"NW Europe","West Asia"
"Sweden","Italy",0.266666666666667,"NW Europe","SW Europe"
"Sweden","Japan",0.4,"NW Europe","East Asia"
"Sweden","Poland",0.266666666666667,"NW Europe","NE Europe"
"Sweden","Sweden",0.533333333333333,"NW Europe","NW Europe"
"Sweden","United Kingdom",0.133333333333333,"NW Europe","NW Europe"
"Sweden","United States of America",0.266666666666667,"NW Europe","North America"
"Switzerland","Canada",8.53333333333333,"NW Europe","North America"
"Switzerland","Estonia",0.266666666666667,"NW Europe","NE Europe"
"Switzerland","Germany",0.266666666666667,"NW Europe","NW Europe"
"Switzerland","Pakistan",0.133333333333333,"NW Europe","West Asia"
"Switzerland","Poland",0.133333333333333,"NW Europe","NE Europe"
"Syrian Arab Republic","Bulgaria",0.8,"West Asia","SE Europe"
"Syrian Arab Republic","Canada",8.8,"West Asia","North America"
"Syrian Arab Republic","China",0.533333333333333,"West Asia","East Asia"
"Syrian Arab Republic","Denmark",6.66666666666667,"West Asia","NW Europe"
"Syrian Arab Republic","Iran (Islamic Republic of)",0.133333333333333,"West Asia","West Asia"
"Syrian Arab Republic","Israel",0.133333333333333,"West Asia","West Asia"
"Syrian Arab Republic","Jordan",0.933333333333333,"West Asia","West Asia"
"Syrian Arab Republic","Morocco",0.133333333333333,"West Asia","SE Mediterranean"
"Syrian Arab Republic","Poland",2.8,"West Asia","NE Europe"
"Syrian Arab Republic","Turkey",0.266666666666667,"West Asia","West Asia"
"Syrian Arab Republic","Ukraine",0.266666666666667,"West Asia","NE Europe"
"Syrian Arab Republic","United Kingdom",0.4,"West Asia","NW Europe"
"Syrian Arab Republic","United States of America",1.2,"West Asia","North America"
"Tajikistan","Canada",1.6,"Central Asia","North America"
"Tajikistan","Germany",0.4,"Central Asia","NW Europe"
"Thailand","Canada",0.933333333333333,"Southeast Asia","North America"
"The former Yugoslav Republic of Macedonia","Canada",2.26666666666667,"SE Europe","North America"
"Tibet","Canada",0.133333333333333,"East Asia","North America"
"Togo","China, Taiwan Province of",4.13333333333333,"West Africa","East Asia"
"Tunisia","Canada",6.8,"SE Mediterranean","North America"
"Tunisia","China",0.8,"SE Mediterranean","East Asia"
"Tunisia","Estonia",0.133333333333333,"SE Mediterranean","NE Europe"
"Tunisia","Germany",0.266666666666667,"SE Mediterranean","NW Europe"
"Tunisia","Iran (Islamic Republic of)",0.133333333333333,"SE Mediterranean","West Asia"
"Tunisia","Poland",3.33333333333333,"SE Mediterranean","NE Europe"
"Tunisia","United Kingdom",0.4,"SE Mediterranean","NW Europe"
"Tunisia","United States of America",0.933333333333333,"SE Mediterranean","North America"
"Turkey","Argentina",0.266666666666667,"West Asia","Temp. S. America"
"Turkey","Belarus",0.4,"West Asia","NE Europe"
"Turkey","Canada",100.4,"West Asia","North America"
"Turkey","Chile",4.53333333333333,"West Asia","Andes"
"Turkey","China",8.93333333333333,"West Asia","East Asia"
"Turkey","China, Taiwan Province of",0.133333333333333,"West Asia","East Asia"
"Turkey","Czech Republic",0.133333333333333,"West Asia","NE Europe"
"Turkey","Denmark",0.133333333333333,"West Asia","NW Europe"
"Turkey","Germany",1.73333333333333,"West Asia","NW Europe"
"Turkey","India",0.266666666666667,"West Asia","South Asia"
"Turkey","Iran (Islamic Republic of)",0.666666666666667,"West Asia","West Asia"
"Turkey","Israel",0.133333333333333,"West Asia","West Asia"
"Turkey","Jordan",0.266666666666667,"West Asia","West Asia"
"Turkey","Morocco",0.266666666666667,"West Asia","SE Mediterranean"
"Turkey","Netherlands",0.133333333333333,"West Asia","NW Europe"
"Turkey","New Zealand",0.133333333333333,"West Asia","Australia New Zealand"
"Turkey","Pakistan",0.133333333333333,"West Asia","West Asia"
"Turkey","Poland",4.8,"West Asia","NE Europe"
"Turkey","Republic of Korea",0.133333333333333,"West Asia","East Asia"
"Turkey","Russian Federation",1.06666666666667,"West Asia","NE Europe"
"Turkey","Turkey",14.8,"West Asia","West Asia"
"Turkey","Ukraine",0.933333333333333,"West Asia","NE Europe"
"Turkey","United Kingdom",3.6,"West Asia","NW Europe"
"Turkey","United States of America",8.66666666666667,"West Asia","North America"
"Turkmenistan","Canada",1.06666666666667,"Central Asia","North America"
"Turkmenistan","Republic of Korea",0.133333333333333,"Central Asia","East Asia"
"Turkmenistan","United States of America",0.133333333333333,"Central Asia","North America"
"Ukraine","Argentina",0.133333333333333,"NE Europe","Temp. S. America"
"Ukraine","Australia",0.133333333333333,"NE Europe","Australia New Zealand"
"Ukraine","Bulgaria",0.533333333333333,"NE Europe","SE Europe"
"Ukraine","Canada",18.8,"NE Europe","North America"
"Ukraine","Chile",0.133333333333333,"NE Europe","Andes"
"Ukraine","China",0.666666666666667,"NE Europe","East Asia"
"Ukraine","Egypt",0.4,"NE Europe","SE Mediterranean"
"Ukraine","Germany",0.666666666666667,"NE Europe","NW Europe"
"Ukraine","Iran (Islamic Republic of)",0.133333333333333,"NE Europe","West Asia"
"Ukraine","Morocco",0.4,"NE Europe","SE Mediterranean"
"Ukraine","Netherlands",0.133333333333333,"NE Europe","NW Europe"
"Ukraine","Pakistan",0.133333333333333,"NE Europe","West Asia"
"Ukraine","Poland",0.133333333333333,"NE Europe","NE Europe"
"Ukraine","United Kingdom",0.8,"NE Europe","NW Europe"
"Ukraine","United States of America",0.133333333333333,"NE Europe","North America"
"United Kingdom","Belarus",0.133333333333333,"NW Europe","NE Europe"
"United Kingdom","Bulgaria",0.133333333333333,"NW Europe","SE Europe"
"United Kingdom","Canada",22,"NW Europe","North America"
"United Kingdom","China",2,"NW Europe","East Asia"
"United Kingdom","China, Taiwan Province of",0.266666666666667,"NW Europe","East Asia"
"United Kingdom","Egypt",0.4,"NW Europe","SE Mediterranean"
"United Kingdom","France",0.133333333333333,"NW Europe","NW Europe"
"United Kingdom","Germany",3.06666666666667,"NW Europe","NW Europe"
"United Kingdom","India",0.266666666666667,"NW Europe","South Asia"
"United Kingdom","Iran (Islamic Republic of)",0.133333333333333,"NW Europe","West Asia"
"United Kingdom","Japan",0.533333333333333,"NW Europe","East Asia"
"United Kingdom","Mongolia",0.133333333333333,"NW Europe","East Asia"
"United Kingdom","Netherlands",0.4,"NW Europe","NW Europe"
"United Kingdom","New Zealand",0.133333333333333,"NW Europe","Australia New Zealand"
"United Kingdom","Pakistan",0.133333333333333,"NW Europe","West Asia"
"United Kingdom","Poland",2,"NW Europe","NE Europe"
"United Kingdom","Republic of Korea",0.533333333333333,"NW Europe","East Asia"
"United Kingdom","Switzerland",0.266666666666667,"NW Europe","NW Europe"
"United Kingdom","Turkey",0.133333333333333,"NW Europe","West Asia"
"United Kingdom","Ukraine",0.133333333333333,"NW Europe","NE Europe"
"United Kingdom","United Kingdom",0.666666666666667,"NW Europe","NW Europe"
"United Kingdom","United States of America",1.73333333333333,"NW Europe","North America"
"United Republic of Tanzania","Canada",0.533333333333333,"Southern Africa","North America"
"United States of America","Argentina",0.4,"North America","Temp. S. America"
"United States of America","Belarus",0.4,"North America","NE Europe"
"United States of America","Bulgaria",1.6,"North America","SE Europe"
"United States of America","Canada",250.666666666667,"North America","North America"
"United States of America","Chile",2,"North America","Andes"
"United States of America","China",11.4666666666667,"North America","East Asia"
"United States of America","China, Taiwan Province of",2,"North America","East Asia"
"United States of America","Croatia",0.4,"North America","SE Europe"
"United States of America","Czech Republic",0.266666666666667,"North America","NE Europe"
"United States of America","Egypt",8.4,"North America","SE Mediterranean"
"United States of America","Estonia",0.666666666666667,"North America","NE Europe"
"United States of America","France",7.06666666666667,"North America","NW Europe"
"United States of America","Germany",4.53333333333333,"North America","NW Europe"
"United States of America","Iceland",0.266666666666667,"North America","NW Europe"
"United States of America","India",2.26666666666667,"North America","South Asia"
"United States of America","Iran (Islamic Republic of)",0.4,"North America","West Asia"
"United States of America","Italy",0.4,"North America","SW Europe"
"United States of America","Jordan",0.266666666666667,"North America","West Asia"
"United States of America","Morocco",0.666666666666667,"North America","SE Mediterranean"
"United States of America","New Zealand",0.133333333333333,"North America","Australia New Zealand"
"United States of America","Norway",2.53333333333333,"North America","NW Europe"
"United States of America","Pakistan",1.06666666666667,"North America","West Asia"
"United States of America","Poland",1.46666666666667,"North America","NE Europe"
"United States of America","Republic of Korea",0.133333333333333,"North America","East Asia"
"United States of America","Russian Federation",0.133333333333333,"North America","NE Europe"
"United States of America","Sudan (former)",0.133333333333333,"North America","East Africa"
"United States of America","Turkey",0.8,"North America","West Asia"
"United States of America","Ukraine",0.133333333333333,"North America","NE Europe"
"United States of America","United Kingdom",1.2,"North America","NW Europe"
"United States of America","United States of America",4.26666666666667,"North America","North America"
"United States of America","Zambia",0.133333333333333,"North America","Southern Africa"
"Uruguay","Argentina",0.533333333333333,"Temp. S. America","Temp. S. America"
"Uruguay","Belarus",0.133333333333333,"Temp. S. America","NE Europe"
"Uruguay","Canada",6,"Temp. S. America","North America"
"Uruguay","China",0.4,"Temp. S. America","East Asia"
"Uruguay","Germany",0.4,"Temp. S. America","NW Europe"
"Uruguay","Poland",0.266666666666667,"Temp. S. America","NE Europe"
"Uruguay","Switzerland",0.133333333333333,"Temp. S. America","NW Europe"
"Uruguay","Ukraine",0.133333333333333,"Temp. S. America","NE Europe"
"Uzbekistan","Canada",1.2,"Central Asia","North America"
"Uzbekistan","China",0.4,"Central Asia","East Asia"
"Uzbekistan","Egypt",0.266666666666667,"Central Asia","SE Mediterranean"
"Uzbekistan","Germany",0.4,"Central Asia","NW Europe"
"Uzbekistan","Iran (Islamic Republic of)",0.133333333333333,"Central Asia","West Asia"
"Uzbekistan","United States of America",0.533333333333333,"Central Asia","North America"
"Venezuela (Bolivarian Republic of)","Chile",0.133333333333333,"Trop. S. America","Andes"
"Yemen","Canada",0.533333333333333,"West Asia","North America"
"Yemen","India",2.4,"West Asia","South Asia"
"Yemen","Pakistan",0.133333333333333,"West Asia","West Asia"
"Yemen","Poland",0.133333333333333,"West Asia","NE Europe"
"Zambia","India",9.6,"Southern Africa","South Asia"
"Zimbabwe","Canada",0.533333333333333,"Southern Africa","North America"
"Zimbabwe","Chile",0.133333333333333,"Southern Africa","Andes"
"Zimbabwe","Poland",0.133333333333333,"Southern Africa","NE Europe"
"Zimbabwe","Zambia",0.133333333333333,"Southern Africa","Southern Africa"
