"Origin","Recipient","Total number of samples","Average no samples per year","Region_origin","Region_recipient"
"Burkina Faso","China, Taiwan Province of",5,0.666666666666667,"West Africa","East Asia"
"Burkina Faso","India",76,10.1333333333333,"West Africa","South Asia"
"Cameroon","India",5,0.666666666666667,"Central Africa","South Asia"
"Canada","Argentina",18,2.4,"Canada","Temp. S. America"
"Canada","Australia",34,4.53333333333333,"Canada","Australia New Zealand"
"Canada","Austria",10,1.33333333333333,"Canada","NW Europe"
"Canada","Belarus",24,3.2,"Canada","NE Europe"
"Canada","Belgium",2,0.266666666666667,"Canada","NW Europe"
"Canada","Bulgaria",74,9.86666666666667,"Canada","SE Europe"
"Canada","Canada",4410,588,"Canada","Canada"
"Canada","Chile",20,2.66666666666667,"Canada","Andes"
"Canada","China",646,86.1333333333333,"Canada","East Asia"
"Canada","China, Taiwan Province of",34,4.53333333333333,"Canada","East Asia"
"Canada","Croatia",6,0.8,"Canada","SE Europe"
"Canada","Czech Republic",67,8.93333333333333,"Canada","NE Europe"
"Canada","Denmark",2,0.266666666666667,"Canada","NW Europe"
"Canada","Egypt",171,22.8,"Canada","SE Mediterranean"
"Canada","Estonia",41,5.46666666666667,"Canada","NE Europe"
"Canada","Ethiopia",14,1.86666666666667,"Canada","East Africa"
"Canada","Finland",9,1.2,"Canada","NW Europe"
"Canada","France",110,14.6666666666667,"Canada","NW Europe"
"Canada","Germany",363,48.4,"Canada","NW Europe"
"Canada","Hungary",8,1.06666666666667,"Canada","NE Europe"
"Canada","Iceland",8,1.06666666666667,"Canada","NW Europe"
"Canada","India",26,3.46666666666667,"Canada","South Asia"
"Canada","Iran (Islamic Republic of)",24,3.2,"Canada","West Asia"
"Canada","Israel",5,0.666666666666667,"Canada","West Asia"
"Canada","Italy",27,3.6,"Canada","SW Europe"
"Canada","Japan",43,5.73333333333333,"Canada","East Asia"
"Canada","Jordan",6,0.8,"Canada","West Asia"
"Canada","Luxembourg",1,0.133333333333333,"Canada","NW Europe"
"Canada","Mongolia",34,4.53333333333333,"Canada","East Asia"
"Canada","Morocco",5,0.666666666666667,"Canada","SE Mediterranean"
"Canada","Netherlands",23,3.06666666666667,"Canada","NW Europe"
"Canada","New Zealand",13,1.73333333333333,"Canada","Australia New Zealand"
"Canada","Norway",37,4.93333333333333,"Canada","NW Europe"
"Canada","Pakistan",162,21.6,"Canada","West Asia"
"Canada","Poland",47,6.26666666666667,"Canada","NE Europe"
"Canada","Republic of Korea",24,3.2,"Canada","East Asia"
"Canada","Romania",9,1.2,"Canada","NE Europe"
"Canada","Russian Federation",40,5.33333333333333,"Canada","NE Europe"
"Canada","Slovakia",1,0.133333333333333,"Canada","NE Europe"
"Canada","Spain",4,0.533333333333333,"Canada","SW Europe"
"Canada","Sudan (former)",4,0.533333333333333,"Canada","East Africa"
"Canada","Tunisia",8,1.06666666666667,"Canada","SE Mediterranean"
"Canada","Turkey",17,2.26666666666667,"Canada","West Asia"
"Canada","Ukraine",114,15.2,"Canada","NE Europe"
"Canada","United Kingdom",57,7.6,"Canada","NW Europe"
"Canada","United States of America",168,22.4,"Canada","United States"
"Canada","Viet Nam",6,0.8,"Canada","Southeast Asia"
"Canada","Zambia",69,9.2,"Canada","Southern Africa"
"Chad","Canada",1,0.133333333333333,"West Africa","Canada"
"Chad","India",18,2.4,"West Africa","South Asia"
"Chad","Romania",1,0.133333333333333,"West Africa","NE Europe"
"Chile","Canada",10,1.33333333333333,"Andes","Canada"
"Chile","China",7,0.933333333333333,"Andes","East Asia"
"Chile","China, Taiwan Province of",1,0.133333333333333,"Andes","East Asia"
"Chile","Germany",34,4.53333333333333,"Andes","NW Europe"
"Chile","Iran (Islamic Republic of)",1,0.133333333333333,"Andes","West Asia"
"Chile","Poland",2,0.266666666666667,"Andes","NE Europe"
"China","Australia",3,0.4,"East Asia","Australia New Zealand"
"China","Bulgaria",1,0.133333333333333,"East Asia","SE Europe"
"China","Canada",581,77.4666666666667,"East Asia","Canada"
"China","China",13,1.73333333333333,"East Asia","East Asia"
"China","China, Taiwan Province of",1,0.133333333333333,"East Asia","East Asia"
"China","Egypt",6,0.8,"East Asia","SE Mediterranean"
"China","France",6,0.8,"East Asia","NW Europe"
"China","Germany",27,3.6,"East Asia","NW Europe"
"China","India",13,1.73333333333333,"East Asia","South Asia"
"China","Japan",5,0.666666666666667,"East Asia","East Asia"
"China","New Zealand",2,0.266666666666667,"East Asia","Australia New Zealand"
"China","Norway",2,0.266666666666667,"East Asia","NW Europe"
"China","Pakistan",1,0.133333333333333,"East Asia","West Asia"
"China","Poland",13,1.73333333333333,"East Asia","NE Europe"
"China","Russian Federation",1,0.133333333333333,"East Asia","NE Europe"
"China","Turkey",2,0.266666666666667,"East Asia","West Asia"
"China","United Kingdom",2,0.266666666666667,"East Asia","NW Europe"
"China, Taiwan Province of","Canada",18,2.4,"East Asia","Canada"
"China, Taiwan Province of","France",2,0.266666666666667,"East Asia","NW Europe"
"China, Taiwan Province of","Germany",2,0.266666666666667,"East Asia","NW Europe"
"Colombia","Canada",139,18.5333333333333,"Andes","Canada"
"Colombia","China, Taiwan Province of",2,0.266666666666667,"Andes","East Asia"
"Congo","Canada",2,0.266666666666667,"Central Africa","Canada"
"Congo","Zambia",2,0.266666666666667,"Central Africa","Southern Africa"
"Costa Rica","Chile",1,0.133333333333333,"Central America","Andes"
"Costa Rica","Egypt",2,0.266666666666667,"Central America","SE Mediterranean"
"Costa Rica","United States of America",1,0.133333333333333,"Central America","United States"
"Côte d'Ivoire","China, Taiwan Province of",10,1.33333333333333,"West Africa","East Asia"
"Croatia","Canada",5,0.666666666666667,"SE Europe","Canada"
"Cuba","Canada",1,0.133333333333333,"Caribbean","Canada"
"Cyprus","Canada",22,2.93333333333333,"SE Mediterranean","Canada"
"Cyprus","Chile",4,0.533333333333333,"SE Mediterranean","Andes"
"Cyprus","China, Taiwan Province of",1,0.133333333333333,"SE Mediterranean","East Asia"
"Cyprus","Iran (Islamic Republic of)",1,0.133333333333333,"SE Mediterranean","West Asia"
"Cyprus","Israel",1,0.133333333333333,"SE Mediterranean","West Asia"
"Cyprus","Poland",5,0.666666666666667,"SE Mediterranean","NE Europe"
"Cyprus","Ukraine",1,0.133333333333333,"SE Mediterranean","NE Europe"
"Cyprus","United Kingdom",1,0.133333333333333,"SE Mediterranean","NW Europe"
"Czech Republic","Australia",1,0.133333333333333,"NE Europe","Australia New Zealand"
"Czech Republic","Belgium",1,0.133333333333333,"NE Europe","NW Europe"
"Czech Republic","Canada",90,12,"NE Europe","Canada"
"Czech Republic","Chile",1,0.133333333333333,"NE Europe","Andes"
"Czech Republic","China",9,1.2,"NE Europe","East Asia"
"Czech Republic","France",1,0.133333333333333,"NE Europe","NW Europe"
"Czech Republic","Germany",3,0.4,"NE Europe","NW Europe"
"Czech Republic","Italy",2,0.266666666666667,"NE Europe","SW Europe"
"Czech Republic","Netherlands",4,0.533333333333333,"NE Europe","NW Europe"
"Czech Republic","Norway",2,0.266666666666667,"NE Europe","NW Europe"
"Czech Republic","Republic of Korea",4,0.533333333333333,"NE Europe","East Asia"
"Czech Republic","Turkey",2,0.266666666666667,"NE Europe","West Asia"
"Czech Republic","United Kingdom",6,0.8,"NE Europe","NW Europe"
"Czech Republic","United States of America",5,0.666666666666667,"NE Europe","United States"
"Democratic People's Republic of Korea","Canada",9,1.2,"East Asia","Canada"
"Democratic People's Republic of Korea","Chile",1,0.133333333333333,"East Asia","Andes"
"Denmark","Australia",1,0.133333333333333,"NW Europe","Australia New Zealand"
"Denmark","Canada",81,10.8,"NW Europe","Canada"
