"Origin","Recipient","Total number of samples","Average no samples per year","Region_origin","Region_recipient"
"Israel","Ukraine",4,0.533333333333333,"West Asia","NE Europe"
"Israel","United Kingdom",4,0.533333333333333,"West Asia","NW Europe"
"Israel","United States of America",2,0.266666666666667,"West Asia","United States"
"Italy","Belarus",1,0.133333333333333,"SW Europe","NE Europe"
"Italy","Canada",153,20.4,"SW Europe","Canada"
"Italy","Chile",4,0.533333333333333,"SW Europe","Andes"
"Italy","China",4,0.533333333333333,"SW Europe","East Asia"
"Italy","France",3,0.4,"SW Europe","NW Europe"
"Italy","Germany",4,0.533333333333333,"SW Europe","NW Europe"
"Italy","Iran (Islamic Republic of)",1,0.133333333333333,"SW Europe","West Asia"
"Italy","Japan",1,0.133333333333333,"SW Europe","East Asia"
"Italy","Pakistan",1,0.133333333333333,"SW Europe","West Asia"
"Italy","Poland",14,1.86666666666667,"SW Europe","NE Europe"
"Italy","Republic of Korea",1,0.133333333333333,"SW Europe","East Asia"
"Italy","United Kingdom",4,0.533333333333333,"SW Europe","NW Europe"
"Italy","United States of America",4,0.533333333333333,"SW Europe","United States"
"Japan","Bulgaria",1,0.133333333333333,"East Asia","SE Europe"
"Japan","Canada",177,23.6,"East Asia","Canada"
"Japan","Chile",7,0.933333333333333,"East Asia","Andes"
"Japan","China",1,0.133333333333333,"East Asia","East Asia"
"Japan","China, Taiwan Province of",10,1.33333333333333,"East Asia","East Asia"
"Japan","Germany",5,0.666666666666667,"East Asia","NW Europe"
"Japan","Pakistan",1,0.133333333333333,"East Asia","West Asia"
"Japan","Poland",3,0.4,"East Asia","NE Europe"
"Japan","Romania",3,0.4,"East Asia","NE Europe"
"Jordan","Canada",23,3.06666666666667,"West Asia","Canada"
"Jordan","Denmark",7,0.933333333333333,"West Asia","NW Europe"
"Jordan","Iran (Islamic Republic of)",1,0.133333333333333,"West Asia","West Asia"
"Jordan","Jordan",4,0.533333333333333,"West Asia","West Asia"
"Jordan","Poland",8,1.06666666666667,"West Asia","NE Europe"
"Jordan","Russian Federation",1,0.133333333333333,"West Asia","NE Europe"
"Jordan","United Kingdom",2,0.266666666666667,"West Asia","NW Europe"
"Jordan","United States of America",5,0.666666666666667,"West Asia","United States"
"Kazakhstan","Canada",16,2.13333333333333,"Central Asia","Canada"
"Kazakhstan","Egypt",3,0.4,"Central Asia","SE Mediterranean"
"Kazakhstan","Germany",4,0.533333333333333,"Central Asia","NW Europe"
"Kazakhstan","Iran (Islamic Republic of)",1,0.133333333333333,"Central Asia","West Asia"
"Kazakhstan","Netherlands",1,0.133333333333333,"Central Asia","NW Europe"
"Kazakhstan","Republic of Korea",1,0.133333333333333,"Central Asia","East Asia"
"Kazakhstan","Romania",3,0.4,"Central Asia","NE Europe"
"Kazakhstan","Russian Federation",1,0.133333333333333,"Central Asia","NE Europe"
"Kazakhstan","United Kingdom",1,0.133333333333333,"Central Asia","NW Europe"
"Kenya","Canada",183,24.4,"East Africa","Canada"
"Kenya","Chile",2,0.266666666666667,"East Africa","Andes"
"Kenya","China",1,0.133333333333333,"East Africa","East Asia"
"Kenya","China, Taiwan Province of",1,0.133333333333333,"East Africa","East Asia"
"Kenya","France",1,0.133333333333333,"East Africa","NW Europe"
"Kenya","Poland",6,0.8,"East Africa","NE Europe"
"Kenya","Zambia",1,0.133333333333333,"East Africa","Southern Africa"
"Kyrgyzstan","Canada",6,0.8,"Central Asia","Canada"
"Kyrgyzstan","Romania",1,0.133333333333333,"Central Asia","NE Europe"
"Latvia","Bulgaria",1,0.133333333333333,"NE Europe","SE Europe"
"Latvia","Canada",10,1.33333333333333,"NE Europe","Canada"
"Latvia","France",2,0.266666666666667,"NE Europe","NW Europe"
"Latvia","Germany",1,0.133333333333333,"NE Europe","NW Europe"
"Lebanon","Canada",17,2.26666666666667,"West Asia","Canada"
"Lebanon","Denmark",5,0.666666666666667,"West Asia","NW Europe"
"Lebanon","Iran (Islamic Republic of)",1,0.133333333333333,"West Asia","West Asia"
"Lebanon","Poland",14,1.86666666666667,"West Asia","NE Europe"
"Libya","Canada",8,1.06666666666667,"SE Mediterranean","Canada"
"Libya","China",3,0.4,"SE Mediterranean","East Asia"
"Libya","Germany",1,0.133333333333333,"SE Mediterranean","NW Europe"
"Libya","Poland",18,2.4,"SE Mediterranean","NE Europe"
"Lithuania","Bulgaria",1,0.133333333333333,"NE Europe","SE Europe"
"Lithuania","Canada",6,0.8,"NE Europe","Canada"
"Lithuania","China",4,0.533333333333333,"NE Europe","East Asia"
"Lithuania","Germany",1,0.133333333333333,"NE Europe","NW Europe"
"Lithuania","Netherlands",1,0.133333333333333,"NE Europe","NW Europe"
"Lithuania","Republic of Korea",1,0.133333333333333,"NE Europe","East Asia"
"Lithuania","United Kingdom",1,0.133333333333333,"NE Europe","NW Europe"
"Malawi","India",22,2.93333333333333,"Southern Africa","South Asia"
"Malta","Chile",1,0.133333333333333,"SE Mediterranean","Andes"
"Malta","United Kingdom",1,0.133333333333333,"SE Mediterranean","NW Europe"
"Mexico","Belarus",4,0.533333333333333,"Central America","NE Europe"
"Mexico","Canada",290,38.6666666666667,"Central America","Canada"
"Mexico","China, Taiwan Province of",3,0.4,"Central America","East Asia"
"Mexico","Germany",6,0.8,"Central America","NW Europe"
"Mexico","India",8,1.06666666666667,"Central America","South Asia"
"Mexico","Iran (Islamic Republic of)",1,0.133333333333333,"Central America","West Asia"
"Mexico","Ukraine",1,0.133333333333333,"Central America","NE Europe"
"Mongolia","Canada",23,3.06666666666667,"East Asia","Canada"
"Mongolia","Germany",10,1.33333333333333,"East Asia","NW Europe"
"Mongolia","United Kingdom",4,0.533333333333333,"East Asia","NW Europe"
"Montenegro","Canada",2,0.266666666666667,"SE Europe","Canada"
"Montenegro","United States of America",2,0.266666666666667,"SE Europe","United States"
"Morocco","Argentina",1,0.133333333333333,"SE Mediterranean","Temp. S. America"
"Morocco","Belarus",2,0.266666666666667,"SE Mediterranean","NE Europe"
"Morocco","Canada",91,12.1333333333333,"SE Mediterranean","Canada"
"Morocco","China",39,5.2,"SE Mediterranean","East Asia"
"Morocco","France",1,0.133333333333333,"SE Mediterranean","NW Europe"
"Morocco","Germany",3,0.4,"SE Mediterranean","NW Europe"
"Morocco","Iran (Islamic Republic of)",1,0.133333333333333,"SE Mediterranean","West Asia"
"Morocco","Israel",33,4.4,"SE Mediterranean","West Asia"
"Morocco","Pakistan",1,0.133333333333333,"SE Mediterranean","West Asia"
"Morocco","Poland",70,9.33333333333333,"SE Mediterranean","NE Europe"
"Morocco","Republic of Korea",1,0.133333333333333,"SE Mediterranean","East Asia"
"Morocco","Russian Federation",10,1.33333333333333,"SE Mediterranean","NE Europe"
"Morocco","Ukraine",8,1.06666666666667,"SE Mediterranean","NE Europe"
"Morocco","United Kingdom",12,1.6,"SE Mediterranean","NW Europe"
"Morocco","United States of America",14,1.86666666666667,"SE Mediterranean","United States"
"Mozambique","Canada",4,0.533333333333333,"Southern Africa","Canada"
"Mozambique","Zambia",2,0.266666666666667,"Southern Africa","Southern Africa"
"Nepal","Canada",226,30.1333333333333,"South Asia","Canada"
"Nepal","Iceland",2,0.266666666666667,"South Asia","NW Europe"
"Nepal","India",2,0.266666666666667,"South Asia","South Asia"
"Nepal","Poland",1,0.133333333333333,"South Asia","NE Europe"
"Netherlands","Argentina",1,0.133333333333333,"NW Europe","Temp. S. America"
"Netherlands","Bulgaria",3,0.4,"NW Europe","SE Europe"
"Netherlands","Canada",108,14.4,"NW Europe","Canada"
"Netherlands","Chile",5,0.666666666666667,"NW Europe","Andes"
"Netherlands","China",19,2.53333333333333,"NW Europe","East Asia"
"Netherlands","Egypt",11,1.46666666666667,"NW Europe","SE Mediterranean"
"Netherlands","France",3,0.4,"NW Europe","NW Europe"
"Netherlands","Germany",9,1.2,"NW Europe","NW Europe"
"Netherlands","India",2,0.266666666666667,"NW Europe","South Asia"
"Netherlands","Iran (Islamic Republic of)",1,0.133333333333333,"NW Europe","West Asia"
"Netherlands","Italy",8,1.06666666666667,"NW Europe","SW Europe"
"Netherlands","New Zealand",1,0.133333333333333,"NW Europe","Australia New Zealand"
"Netherlands","Norway",2,0.266666666666667,"NW Europe","NW Europe"
"Netherlands","Pakistan",1,0.133333333333333,"NW Europe","West Asia"
"Netherlands","Turkey",2,0.266666666666667,"NW Europe","West Asia"
"Netherlands","United Kingdom",2,0.266666666666667,"NW Europe","NW Europe"
"Netherlands","United States of America",3,0.4,"NW Europe","United States"
"New Zealand","Bulgaria",1,0.133333333333333,"Australia New Zealand","SE Europe"
"New Zealand","Canada",23,3.06666666666667,"Australia New Zealand","Canada"
"New Zealand","Chile",3,0.4,"Australia New Zealand","Andes"
"New Zealand","China",3,0.4,"Australia New Zealand","East Asia"
"New Zealand","France",2,0.266666666666667,"Australia New Zealand","NW Europe"
"New Zealand","Germany",1,0.133333333333333,"Australia New Zealand","NW Europe"
"New Zealand","Japan",1,0.133333333333333,"Australia New Zealand","East Asia"
"Nicaragua","Canada",1,0.133333333333333,"Central America","Canada"
"Nicaragua","Chile",1,0.133333333333333,"Central America","Andes"
"Niger","Romania",2,0.266666666666667,"West Africa","NE Europe"
"Nigeria","China, Taiwan Province of",2,0.266666666666667,"West Africa","East Asia"
"Norway","Canada",4,0.533333333333333,"NW Europe","Canada"
"Norway","Iceland",2,0.266666666666667,"NW Europe","NW Europe"
"Norway","Italy",2,0.266666666666667,"NW Europe","SW Europe"
"Norway","Republic of Korea",1,0.133333333333333,"NW Europe","East Asia"
"Norway","Sweden",1,0.133333333333333,"NW Europe","NW Europe"
"Norway","United States of America",2,0.266666666666667,"NW Europe","United States"
"Occupied Palestinian Territory","Canada",4,0.533333333333333,"West Asia","Canada"
"Oman","Canada",3,0.4,"West Asia","Canada"
"Oman","United States of America",1,0.133333333333333,"West Asia","United States"
"Pakistan","Argentina",3,0.4,"West Asia","Temp. S. America"
"Pakistan","Canada",742,98.9333333333333,"West Asia","Canada"
"Pakistan","Chile",2,0.266666666666667,"West Asia","Andes"
"Pakistan","China",9,1.2,"West Asia","East Asia"
"Pakistan","France",10,1.33333333333333,"West Asia","NW Europe"
"Pakistan","India",48,6.4,"West Asia","South Asia"
"Pakistan","Morocco",129,17.2,"West Asia","SE Mediterranean"
"Pakistan","Pakistan",2,0.266666666666667,"West Asia","West Asia"
"Pakistan","Poland",6,0.8,"West Asia","NE Europe"
"Pakistan","Turkey",3,0.4,"West Asia","West Asia"
"Pakistan","United States of America",1,0.133333333333333,"West Asia","United States"
"Peru","Canada",79,10.5333333333333,"Andes","Canada"
"Peru","China",1,0.133333333333333,"Andes","East Asia"
"Peru","China, Taiwan Province of",2,0.266666666666667,"Andes","East Asia"
"Peru","Germany",2,0.266666666666667,"Andes","NW Europe"
"Peru","Jordan",1,0.133333333333333,"Andes","West Asia"
"Peru","Russian Federation",1,0.133333333333333,"Andes","NE Europe"
"Philippines","Canada",8,1.06666666666667,"Southeast Asia","Canada"
"Philippines","China, Taiwan Province of",1,0.133333333333333,"Southeast Asia","East Asia"
"Philippines","Egypt",1,0.133333333333333,"Southeast Asia","SE Mediterranean"
"Poland","Australia",2,0.266666666666667,"NE Europe","Australia New Zealand"
"Poland","Bulgaria",2,0.266666666666667,"NE Europe","SE Europe"
"Poland","Canada",227,30.2666666666667,"NE Europe","Canada"
"Poland","Chile",4,0.533333333333333,"NE Europe","Andes"
"Poland","China",14,1.86666666666667,"NE Europe","East Asia"
"Poland","China, Taiwan Province of",1,0.133333333333333,"NE Europe","East Asia"
"Poland","Croatia",2,0.266666666666667,"NE Europe","SE Europe"
"Poland","Egypt",1,0.133333333333333,"NE Europe","SE Mediterranean"
"Poland","France",5,0.666666666666667,"NE Europe","NW Europe"
"Poland","Germany",10,1.33333333333333,"NE Europe","NW Europe"
"Poland","India",2,0.266666666666667,"NE Europe","South Asia"
"Poland","Japan",1,0.133333333333333,"NE Europe","East Asia"
"Poland","Netherlands",1,0.133333333333333,"NE Europe","NW Europe"
"Poland","Norway",1,0.133333333333333,"NE Europe","NW Europe"
"Poland","Pakistan",2,0.266666666666667,"NE Europe","West Asia"
"Poland","Philippines",1,0.133333333333333,"NE Europe","Southeast Asia"
"Poland","Poland",1,0.133333333333333,"NE Europe","NE Europe"
"Poland","Republic of Korea",1,0.133333333333333,"NE Europe","East Asia"
"Poland","United Kingdom",3,0.4,"NE Europe","NW Europe"
"Poland","United States of America",1,0.133333333333333,"NE Europe","United States"
"Portugal","Belarus",2,0.266666666666667,"SW Europe","NE Europe"
"Portugal","Canada",69,9.2,"SW Europe","Canada"
"Portugal","China",22,2.93333333333333,"SW Europe","East Asia"
"Portugal","Germany",24,3.2,"SW Europe","NW Europe"
"Portugal","Iceland",1,0.133333333333333,"SW Europe","NW Europe"
"Portugal","India",1,0.133333333333333,"SW Europe","South Asia"
"Portugal","Iran (Islamic Republic of)",1,0.133333333333333,"SW Europe","West Asia"
"Portugal","Poland",14,1.86666666666667,"SW Europe","NE Europe"
"Portugal","Republic of Korea",1,0.133333333333333,"SW Europe","East Asia"
"Portugal","Ukraine",2,0.266666666666667,"SW Europe","NE Europe"
"Portugal","United Kingdom",11,1.46666666666667,"SW Europe","NW Europe"
"Portugal","United States of America",4,0.533333333333333,"SW Europe","United States"
"Puerto Rico","Canada",1,0.133333333333333,"Caribbean","Canada"
"Republic of Korea","Canada",209,27.8666666666667,"East Asia","Canada"
"Republic of Korea","Chile",1,0.133333333333333,"East Asia","Andes"
"Republic of Korea","China, Taiwan Province of",6,0.8,"East Asia","East Asia"
"Republic of Korea","France",1,0.133333333333333,"East Asia","NW Europe"
"Republic of Korea","Germany",2,0.266666666666667,"East Asia","NW Europe"
"Republic of Korea","Pakistan",3,0.4,"East Asia","West Asia"
"Republic of Moldova","Canada",15,2,"NE Europe","Canada"
"Republic of Moldova","Egypt",5,0.666666666666667,"NE Europe","SE Mediterranean"
"Republic of Moldova","Germany",1,0.133333333333333,"NE Europe","NW Europe"
"Republic of Moldova","United Kingdom",1,0.133333333333333,"NE Europe","NW Europe"
"Republic of Moldova","United States of America",2,0.266666666666667,"NE Europe","United States"
"Romania","Canada",46,6.13333333333333,"NE Europe","Canada"
"Romania","Chile",1,0.133333333333333,"NE Europe","Andes"
"Romania","China",9,1.2,"NE Europe","East Asia"
"Romania","France",4,0.533333333333333,"NE Europe","NW Europe"
"Romania","Germany",10,1.33333333333333,"NE Europe","NW Europe"
"Romania","Iran (Islamic Republic of)",1,0.133333333333333,"NE Europe","West Asia"
"Romania","Netherlands",1,0.133333333333333,"NE Europe","NW Europe"
"Romania","Norway",1,0.133333333333333,"NE Europe","NW Europe"
"Romania","Pakistan",3,0.4,"NE Europe","West Asia"
"Romania","Republic of Korea",2,0.266666666666667,"NE Europe","East Asia"
"Romania","Turkey",1,0.133333333333333,"NE Europe","West Asia"
"Romania","United Kingdom",4,0.533333333333333,"NE Europe","NW Europe"
"Russian Federation","Argentina",4,0.533333333333333,"NE Europe","Temp. S. America"
"Russian Federation","Australia",10,1.33333333333333,"NE Europe","Australia New Zealand"
"Russian Federation","Bulgaria",10,1.33333333333333,"NE Europe","SE Europe"
"Russian Federation","Canada",1639,218.533333333333,"NE Europe","Canada"
"Russian Federation","Chile",16,2.13333333333333,"NE Europe","Andes"
"Russian Federation","China",99,13.2,"NE Europe","East Asia"
"Russian Federation","China, Taiwan Province of",2,0.266666666666667,"NE Europe","East Asia"
"Russian Federation","Egypt",7,0.933333333333333,"NE Europe","SE Mediterranean"
"Russian Federation","Estonia",5,0.666666666666667,"NE Europe","NE Europe"
"Russian Federation","France",19,2.53333333333333,"NE Europe","NW Europe"
"Russian Federation","Germany",39,5.2,"NE Europe","NW Europe"
"Russian Federation","Iceland",13,1.73333333333333,"NE Europe","NW Europe"
"Russian Federation","India",3,0.4,"NE Europe","South Asia"
"Russian Federation","Iran (Islamic Republic of)",1,0.133333333333333,"NE Europe","West Asia"
"Russian Federation","Italy",1,0.133333333333333,"NE Europe","SW Europe"
"Russian Federation","Morocco",2,0.266666666666667,"NE Europe","SE Mediterranean"
"Russian Federation","Netherlands",7,0.933333333333333,"NE Europe","NW Europe"
"Russian Federation","New Zealand",1,0.133333333333333,"NE Europe","Australia New Zealand"
"Russian Federation","Norway",4,0.533333333333333,"NE Europe","NW Europe"
"Russian Federation","Poland",3,0.4,"NE Europe","NE Europe"
"Russian Federation","Republic of Korea",8,1.06666666666667,"NE Europe","East Asia"
"Russian Federation","Romania",8,1.06666666666667,"NE Europe","NE Europe"
"Russian Federation","Russian Federation",63,8.4,"NE Europe","NE Europe"
"Russian Federation","Sudan (former)",1,0.133333333333333,"NE Europe","East Africa"
"Russian Federation","Tunisia",1,0.133333333333333,"NE Europe","SE Mediterranean"
"Russian Federation","Turkey",3,0.4,"NE Europe","West Asia"
"Russian Federation","United Kingdom",64,8.53333333333333,"NE Europe","NW Europe"
"Russian Federation","United States of America",9,1.2,"NE Europe","United States"
"Saudi Arabia","Iran (Islamic Republic of)",1,0.133333333333333,"West Asia","West Asia"
"Saudi Arabia","United Kingdom",1,0.133333333333333,"West Asia","NW Europe"
"Serbia","Canada",12,1.6,"SE Europe","Canada"
"Serbia","Germany",2,0.266666666666667,"SE Europe","NW Europe"
"Serbia","United Kingdom",1,0.133333333333333,"SE Europe","NW Europe"
"Slovakia","Canada",3,0.4,"NE Europe","Canada"
"Slovenia","Canada",6,0.8,"SE Europe","Canada"
"South Africa","Canada",83,11.0666666666667,"Southern Africa","Canada"
"South Africa","China, Taiwan Province of",3,0.4,"Southern Africa","East Asia"
"South Africa","France",1,0.133333333333333,"Southern Africa","NW Europe"
"South Africa","Germany",5,0.666666666666667,"Southern Africa","NW Europe"
"South Africa","Iran (Islamic Republic of)",1,0.133333333333333,"Southern Africa","West Asia"
"South Africa","Pakistan",2,0.266666666666667,"Southern Africa","West Asia"
"South Africa","United States of America",1,0.133333333333333,"Southern Africa","United States"
"South Africa","Zambia",29,3.86666666666667,"Southern Africa","Southern Africa"
"Spain","Belarus",2,0.266666666666667,"SW Europe","NE Europe"
"Spain","Canada",103,13.7333333333333,"SW Europe","Canada"
"Spain","Chile",6,0.8,"SW Europe","Andes"
"Spain","China",19,2.53333333333333,"SW Europe","East Asia"
"Spain","France",11,1.46666666666667,"SW Europe","NW Europe"
"Spain","Germany",17,2.26666666666667,"SW Europe","NW Europe"
"Spain","India",2,0.266666666666667,"SW Europe","South Asia"
"Spain","Iran (Islamic Republic of)",1,0.133333333333333,"SW Europe","West Asia"
"Spain","Israel",1,0.133333333333333,"SW Europe","West Asia"
"Spain","Jordan",2,0.266666666666667,"SW Europe","West Asia"
"Spain","Poland",30,4,"SW Europe","NE Europe"
"Spain","Republic of Korea",1,0.133333333333333,"SW Europe","East Asia"
"Spain","Ukraine",7,0.933333333333333,"SW Europe","NE Europe"
"Spain","United Kingdom",9,1.2,"SW Europe","NW Europe"
"Spain","United States of America",10,1.33333333333333,"SW Europe","United States"
"Sudan (former)","China, Taiwan Province of",12,1.6,"East Africa","East Asia"
"Sudan (former)","India",57,7.6,"East Africa","South Asia"
"Sweden","Bulgaria",5,0.666666666666667,"NW Europe","SE Europe"
"Sweden","Canada",285,38,"NW Europe","Canada"
"Sweden","Chile",7,0.933333333333333,"NW Europe","Andes"
"Sweden","China",4,0.533333333333333,"NW Europe","East Asia"
"Sweden","Estonia",2,0.266666666666667,"NW Europe","NE Europe"
"Sweden","Finland",1,0.133333333333333,"NW Europe","NW Europe"
"Sweden","France",3,0.4,"NW Europe","NW Europe"
"Sweden","Germany",10,1.33333333333333,"NW Europe","NW Europe"
"Sweden","India",3,0.4,"NW Europe","South Asia"
"Sweden","Iran (Islamic Republic of)",1,0.133333333333333,"NW Europe","West Asia"
"Sweden","Italy",2,0.266666666666667,"NW Europe","SW Europe"
"Sweden","Japan",3,0.4,"NW Europe","East Asia"
"Sweden","Poland",2,0.266666666666667,"NW Europe","NE Europe"
"Sweden","Sweden",4,0.533333333333333,"NW Europe","NW Europe"
"Sweden","United Kingdom",1,0.133333333333333,"NW Europe","NW Europe"
"Sweden","United States of America",2,0.266666666666667,"NW Europe","United States"
"Switzerland","Canada",64,8.53333333333333,"NW Europe","Canada"
"Switzerland","Estonia",2,0.266666666666667,"NW Europe","NE Europe"
"Switzerland","Germany",2,0.266666666666667,"NW Europe","NW Europe"
"Switzerland","Pakistan",1,0.133333333333333,"NW Europe","West Asia"
"Switzerland","Poland",1,0.133333333333333,"NW Europe","NE Europe"
"Syrian Arab Republic","Bulgaria",6,0.8,"West Asia","SE Europe"
"Syrian Arab Republic","Canada",66,8.8,"West Asia","Canada"
"Syrian Arab Republic","China",4,0.533333333333333,"West Asia","East Asia"
"Syrian Arab Republic","Denmark",50,6.66666666666667,"West Asia","NW Europe"
"Syrian Arab Republic","Iran (Islamic Republic of)",1,0.133333333333333,"West Asia","West Asia"
"Syrian Arab Republic","Israel",1,0.133333333333333,"West Asia","West Asia"
"Syrian Arab Republic","Jordan",7,0.933333333333333,"West Asia","West Asia"
"Syrian Arab Republic","Morocco",1,0.133333333333333,"West Asia","SE Mediterranean"
"Syrian Arab Republic","Poland",21,2.8,"West Asia","NE Europe"
"Syrian Arab Republic","Turkey",2,0.266666666666667,"West Asia","West Asia"
"Syrian Arab Republic","Ukraine",2,0.266666666666667,"West Asia","NE Europe"
"Syrian Arab Republic","United Kingdom",3,0.4,"West Asia","NW Europe"
"Syrian Arab Republic","United States of America",9,1.2,"West Asia","United States"
"Tajikistan","Canada",12,1.6,"Central Asia","Canada"
"Tajikistan","Germany",3,0.4,"Central Asia","NW Europe"
"Thailand","Canada",7,0.933333333333333,"Southeast Asia","Canada"
"The former Yugoslav Republic of Macedonia","Canada",17,2.26666666666667,"SE Europe","Canada"
"Tibet","Canada",1,0.133333333333333,"East Asia","Canada"
"Togo","China, Taiwan Province of",31,4.13333333333333,"West Africa","East Asia"
"Tunisia","Canada",51,6.8,"SE Mediterranean","Canada"
"Tunisia","China",6,0.8,"SE Mediterranean","East Asia"
"Tunisia","Estonia",1,0.133333333333333,"SE Mediterranean","NE Europe"
"Tunisia","Germany",2,0.266666666666667,"SE Mediterranean","NW Europe"
"Tunisia","Iran (Islamic Republic of)",1,0.133333333333333,"SE Mediterranean","West Asia"
"Tunisia","Poland",25,3.33333333333333,"SE Mediterranean","NE Europe"
"Tunisia","United Kingdom",3,0.4,"SE Mediterranean","NW Europe"
"Tunisia","United States of America",7,0.933333333333333,"SE Mediterranean","United States"
"Turkey","Argentina",2,0.266666666666667,"West Asia","Temp. S. America"
"Turkey","Belarus",3,0.4,"West Asia","NE Europe"
"Turkey","Canada",753,100.4,"West Asia","Canada"
"Turkey","Chile",34,4.53333333333333,"West Asia","Andes"
"Turkey","China",67,8.93333333333333,"West Asia","East Asia"
"Turkey","China, Taiwan Province of",1,0.133333333333333,"West Asia","East Asia"
"Turkey","Czech Republic",1,0.133333333333333,"West Asia","NE Europe"
"Turkey","Denmark",1,0.133333333333333,"West Asia","NW Europe"
"Turkey","Germany",13,1.73333333333333,"West Asia","NW Europe"
"Turkey","India",2,0.266666666666667,"West Asia","South Asia"
"Turkey","Iran (Islamic Republic of)",5,0.666666666666667,"West Asia","West Asia"
"Turkey","Israel",1,0.133333333333333,"West Asia","West Asia"
"Turkey","Jordan",2,0.266666666666667,"West Asia","West Asia"
"Turkey","Morocco",2,0.266666666666667,"West Asia","SE Mediterranean"
"Turkey","Netherlands",1,0.133333333333333,"West Asia","NW Europe"
"Turkey","New Zealand",1,0.133333333333333,"West Asia","Australia New Zealand"
"Turkey","Pakistan",1,0.133333333333333,"West Asia","West Asia"
"Turkey","Poland",36,4.8,"West Asia","NE Europe"
"Turkey","Republic of Korea",1,0.133333333333333,"West Asia","East Asia"
"Turkey","Russian Federation",8,1.06666666666667,"West Asia","NE Europe"
"Turkey","Turkey",111,14.8,"West Asia","West Asia"
"Turkey","Ukraine",7,0.933333333333333,"West Asia","NE Europe"
"Turkey","United Kingdom",27,3.6,"West Asia","NW Europe"
"Turkey","United States of America",65,8.66666666666667,"West Asia","United States"
"Turkmenistan","Canada",8,1.06666666666667,"Central Asia","Canada"
"Turkmenistan","Republic of Korea",1,0.133333333333333,"Central Asia","East Asia"
"Turkmenistan","United States of America",1,0.133333333333333,"Central Asia","United States"
"Ukraine","Argentina",1,0.133333333333333,"NE Europe","Temp. S. America"
"Ukraine","Australia",1,0.133333333333333,"NE Europe","Australia New Zealand"
"Ukraine","Bulgaria",4,0.533333333333333,"NE Europe","SE Europe"
"Ukraine","Canada",141,18.8,"NE Europe","Canada"
"Ukraine","Chile",1,0.133333333333333,"NE Europe","Andes"
"Ukraine","China",5,0.666666666666667,"NE Europe","East Asia"
"Ukraine","Egypt",3,0.4,"NE Europe","SE Mediterranean"
"Ukraine","Germany",5,0.666666666666667,"NE Europe","NW Europe"
"Ukraine","Iran (Islamic Republic of)",1,0.133333333333333,"NE Europe","West Asia"
"Ukraine","Morocco",3,0.4,"NE Europe","SE Mediterranean"
"Ukraine","Netherlands",1,0.133333333333333,"NE Europe","NW Europe"
"Ukraine","Pakistan",1,0.133333333333333,"NE Europe","West Asia"
"Ukraine","Poland",1,0.133333333333333,"NE Europe","NE Europe"
"Ukraine","United Kingdom",6,0.8,"NE Europe","NW Europe"
"Ukraine","United States of America",1,0.133333333333333,"NE Europe","United States"
"United Kingdom","Belarus",1,0.133333333333333,"NW Europe","NE Europe"
"United Kingdom","Bulgaria",1,0.133333333333333,"NW Europe","SE Europe"
"United Kingdom","Canada",165,22,"NW Europe","Canada"
"United Kingdom","China",15,2,"NW Europe","East Asia"
"United Kingdom","China, Taiwan Province of",2,0.266666666666667,"NW Europe","East Asia"
"United Kingdom","Egypt",3,0.4,"NW Europe","SE Mediterranean"
"United Kingdom","France",1,0.133333333333333,"NW Europe","NW Europe"
"United Kingdom","Germany",23,3.06666666666667,"NW Europe","NW Europe"
"United Kingdom","India",2,0.266666666666667,"NW Europe","South Asia"
"United Kingdom","Iran (Islamic Republic of)",1,0.133333333333333,"NW Europe","West Asia"
"United Kingdom","Japan",4,0.533333333333333,"NW Europe","East Asia"
"United Kingdom","Mongolia",1,0.133333333333333,"NW Europe","East Asia"
"United Kingdom","Netherlands",3,0.4,"NW Europe","NW Europe"
"United Kingdom","New Zealand",1,0.133333333333333,"NW Europe","Australia New Zealand"
"United Kingdom","Pakistan",1,0.133333333333333,"NW Europe","West Asia"
"United Kingdom","Poland",15,2,"NW Europe","NE Europe"
"United Kingdom","Republic of Korea",4,0.533333333333333,"NW Europe","East Asia"
"United Kingdom","Switzerland",2,0.266666666666667,"NW Europe","NW Europe"
"United Kingdom","Turkey",1,0.133333333333333,"NW Europe","West Asia"
"United Kingdom","Ukraine",1,0.133333333333333,"NW Europe","NE Europe"
"United Kingdom","United Kingdom",5,0.666666666666667,"NW Europe","NW Europe"
"United Kingdom","United States of America",13,1.73333333333333,"NW Europe","United States"
"United Republic of Tanzania","Canada",4,0.533333333333333,"Southern Africa","Canada"
"United States of America","Argentina",3,0.4,"United States","Temp. S. America"
"United States of America","Belarus",3,0.4,"United States","NE Europe"
"United States of America","Bulgaria",12,1.6,"United States","SE Europe"
"United States of America","Canada",1880,250.666666666667,"United States","Canada"
"United States of America","Chile",15,2,"United States","Andes"
"United States of America","China",86,11.4666666666667,"United States","East Asia"
"United States of America","China, Taiwan Province of",15,2,"United States","East Asia"
"United States of America","Croatia",3,0.4,"United States","SE Europe"
"United States of America","Czech Republic",2,0.266666666666667,"United States","NE Europe"
"United States of America","Egypt",63,8.4,"United States","SE Mediterranean"
"United States of America","Estonia",5,0.666666666666667,"United States","NE Europe"
"United States of America","France",53,7.06666666666667,"United States","NW Europe"
"United States of America","Germany",34,4.53333333333333,"United States","NW Europe"
